"ACCNUM"	"SYMBOL"	"DESC"
"216482_x_at"	"X65232"	"ZNF79"	"zinc finger protein 79"
"216483_s_at"	"AC005339"	"MYDGF"	"myeloid-derived growth factor"
"216484_x_at"	"L24521"	"NA"	"NA"
"216485_s_at"	"AF206667"	"TPSAB1"	"tryptase alpha/beta 1"
"216486_x_at"	"X65232"	"ZNF79"	"zinc finger protein 79"
"216487_at"	"AL049988"	"NA"	"NA"
"216488_s_at"	"AL161996"	"ATP11A"	"ATPase, class VI, type 11A"
"216489_at"	"AB046836"	"NA"	"NA"
"216490_x_at"	"AL133267"	"NA"	"NA"
"216491_x_at"	"U80139"	"IGHM"	"immunoglobulin heavy constant mu"
"216492_at"	"AK024467"	"KIR3DX1"	"killer cell immunoglobulin-like receptor, three domains, X1"
"216493_s_at"	"AL023775"	"IGF2BP3"	"insulin-like growth factor 2 mRNA binding protein 3"
"216494_at"	"AL023775"	"NA"	"NA"
"216495_x_at"	"AF043584"	"NA"	"NA"
"216496_s_at"	"AK021988"	"NA"	"NA"
"216497_at"	"AL390738"	"NA"	"NA"
"216498_at"	"AL390026"	"NA"	"NA"
"216499_at"	"AL137590"	"LOC101929073"	"uncharacterized LOC101929073"
"216500_at"	"M14087"	"NA"	"NA"
"216501_at"	"U25801"	"VAC14"	"Vac14 homolog (S. cerevisiae)"
"216502_at"	"AL096734"	"ISG20L2"	"interferon stimulated exonuclease gene 20kDa-like 2"
"216503_s_at"	"AF060927"	"MLLT10"	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10"
"216504_s_at"	"AL049963"	"SLC39A8"	"solute carrier family 39 (zinc transporter), member 8"
"216505_x_at"	"AL118502"	"NA"	"NA"
"216506_x_at"	"AF060938"	"MLLT10"	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10"
"216507_at"	"AF189251"	"TAPT1"	"transmembrane anterior posterior transformation 1"
"216508_x_at"	"AC007277"	"NA"	"NA"
"216509_x_at"	"AF060938"	"MLLT10"	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10"
"216510_x_at"	"AB035175"	"NA"	"NA"
"216511_s_at"	"AJ270770"	"TCF7L2"	"transcription factor 7-like 2 (T-cell specific, HMG-box)"
"216512_s_at"	"AL139318"	"DCT"	"dopachrome tautomerase"
"216513_at"	"AL139318"	"DCT"	"dopachrome tautomerase"
"216514_at"	"AF203728"	"NA"	"NA"
"216515_x_at"	"AL121585"	"MIR1244-3"	"microRNA 1244-3"
"216516_at"	"AL080315"	"NA"	"NA"
"216517_at"	"Z00008"	"IGKC"	"immunoglobulin kappa constant"
"216518_at"	"AL049260"	"NA"	"NA"
"216519_s_at"	"AK021923"	"PROSC"	"proline synthetase co-transcribed homolog (bacterial)"
"216520_s_at"	"AF072098"	"TPT1"	"tumor protein, translationally-controlled 1"
"216521_s_at"	"S72931"	"BRCC3"	"BRCA1/BRCA2-containing complex, subunit 3"
"216522_at"	"AL133267"	"OR2B6"	"olfactory receptor, family 2, subfamily B, member 6"
"216524_x_at"	"AL049260"	"NA"	"NA"
"216525_x_at"	"D38437"	"PMS2P3"	"PMS1 homolog 2, mismatch repair system component pseudogene 3"
"216526_x_at"	"AK024836"	"HLA-C"	"major histocompatibility complex, class I, C"
"216527_at"	"AL049252"	"HCG18"	"HLA complex group 18 (non-protein coding)"
"216528_at"	"AL049244"	"NA"	"NA"
"216529_at"	"AL049244"	"NA"	"NA"
"216530_at"	"AL137435"	"NA"	"NA"
"216531_at"	"U73479"	"NA"	"NA"
"216532_x_at"	"AL138831"	"NA"	"NA"
"216533_at"	"AL122056"	"PCCA"	"propionyl CoA carboxylase, alpha polypeptide"
"216534_at"	"AL110223"	"NA"	"NA"
"216535_at"	"AL050219"	"NA"	"NA"
"216536_at"	"AC006271"	"OR7E19P"	"olfactory receptor, family 7, subfamily E, member 19 pseudogene"
"216537_s_at"	"AJ130713"	"SIGLEC7"	"sialic acid binding Ig-like lectin 7"
"216538_at"	"AL049351"	"NA"	"NA"
"216539_at"	"AB050195"	"ATXN3L"	"ataxin 3-like"
"216540_at"	"X61072"	"YME1L1"	"YME1-like 1 ATPase"
"216541_x_at"	"AJ275397"	"NA"	"NA"
"216542_x_at"	"AJ275355"	"NA"	"NA"
"216543_at"	"AB050195"	"NA"	"NA"
"216544_at"	"AC007320"	"NA"	"NA"
"216545_at"	"AL049710"	"NA"	"NA"
"216546_s_at"	"AJ251847"	"CHI3L1"	"chitinase 3-like 1 (cartilage glycoprotein-39)"
"216547_at"	"AL353681"	"NA"	"NA"
"216548_x_at"	"AL049709"	"HMGB3P1"	"high mobility group box 3 pseudogene 1"
"216549_s_at"	"AL096712"	"TBC1D22B"	"TBC1 domain family, member 22B"
"216550_x_at"	"X80821"	"ANKRD12"	"ankyrin repeat domain 12"
"216551_x_at"	"AL110247"	"PLCG1"	"phospholipase C, gamma 1"
"216552_x_at"	"AF135564"	"KIR2DS4"	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4"
"216553_x_at"	"AL121890"	"NA"	"NA"
"216554_s_at"	"U88968"	"ENO1"	"enolase 1, (alpha)"
"216555_at"	"AK026712"	"PRR14L"	"proline rich 14-like"
"216556_x_at"	"AL135926"	"NA"	"NA"
"216557_x_at"	"U92706"	"NA"	"NA"
"216558_x_at"	"AF044595"	"NA"	"NA"
"216559_x_at"	"AL050348"	"NA"	"NA"
"216560_x_at"	"D87021"	"IGLC1"	"immunoglobulin lambda constant 1 (Mcg marker)"
"216561_x_at"	"AF032454"	"NA"	"NA"
"216562_at"	"AL121777"	"NA"	"NA"
"216563_at"	"X80821"	"ANKRD12"	"ankyrin repeat domain 12"
"216564_at"	"AC003989"	"NA"	"NA"
"216565_x_at"	"AL121994"	"NA"	"NA"
"216566_at"	"D84140"	"IGLV@"	"immunoglobulin lambda variable cluster"
"216567_at"	"L41657"	"NA"	"NA"
"216568_x_at"	"Z83821"	"NA"	"NA"
"216569_at"	"U72237"	"NA"	"NA"
"216570_x_at"	"AL096829"	"NA"	"NA"
"216571_at"	"M81780"	"NA"	"NA"
"216572_at"	"AF315075"	"FOXL1"	"forkhead box L1"
"216573_at"	"X84340"	"IGLV1-44"	"immunoglobulin lambda variable 1-44"
"216574_s_at"	"J04742"	"NA"	"NA"
"216575_at"	"AL035604"	"NA"	"NA"
"216576_x_at"	"AF103529"	"NA"	"NA"
"216577_at"	"AL049690"	"NA"	"NA"
"216578_at"	"AF009660"	"NA"	"NA"
"216579_at"	"AL121988"	"GJB4"	"gap junction protein, beta 4, 30.3kDa"
"216580_at"	"AL049545"	"NA"	"NA"
"216581_at"	"AL022068"	"NA"	"NA"
"216582_at"	"AL021808"	"POM121L2"	"POM121 transmembrane nucleoporin-like 2"
"216583_x_at"	"AC004079"	"NA"	"NA"
"216584_at"	"AL031291"	"NA"	"NA"
"216585_at"	"AL031777"	"NA"	"NA"
"216586_at"	"X92986"	"NA"	"NA"
"216587_s_at"	"AL121749"	"NA"	"NA"
"216588_at"	"AL031577"	"NA"	"NA"
"216589_at"	"AL031276"	"NA"	"NA"
"216590_at"	"AC004862"	"GNAT3"	"guanine nucleotide binding protein, alpha transducing 3"
"216591_s_at"	"AF080579"	"SDHC"	"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"
"216592_at"	"AL022152"	"MAGEC3"	"melanoma antigen family C3"
"216593_s_at"	"AB000359"	"PIGC"	"phosphatidylinositol glycan anchor biosynthesis, class C"
"216594_x_at"	"S68290"	"AKR1C1"	"aldo-keto reductase family 1, member C1"
"216595_at"	"AL049983"	"FAM186A"	"family with sequence similarity 186, member A"
"216596_at"	"AL117445"	"DKFZP434L187"	"uncharacterized LOC26082"
"216597_at"	"U66059"	"NA"	"NA"
"216598_s_at"	"S69738"	"CCL2"	"chemokine (C-C motif) ligand 2"
"216599_x_at"	"AJ271205"	"SLC22A6"	"solute carrier family 22 (organic anion transporter), member 6"
"216600_x_at"	"AK026411"	"ALDOB"	"aldolase B, fructose-bisphosphate"
"216601_at"	"AF047485"	"AOC4P"	"amine oxidase, copper containing 4, pseudogene"
"216602_s_at"	"AD000092"	"FARSA"	"phenylalanyl-tRNA synthetase, alpha subunit"
"216603_at"	"AL365343"	"SLC7A8"	"solute carrier family 7 (amino acid transporter light chain, L system), member 8"
"216604_s_at"	"AL365343"	"SLC7A8"	"solute carrier family 7 (amino acid transporter light chain, L system), member 8"
"216605_s_at"	"AC005626"	"CEACAM21"	"carcinoembryonic antigen-related cell adhesion molecule 21"
"216606_x_at"	"AL050332"	"LYPLA2"	"lysophospholipase II"
"216607_s_at"	"U40053"	"NA"	"NA"
"216608_at"	"AL080191"	"DKFZP434A062"	"uncharacterized LOC26102"
"216609_at"	"AF065241"	"TXN"	"thioredoxin"
"216610_at"	"AB022847"	"SLC6A2"	"solute carrier family 6 (neurotransmitter transporter), member 2"
"216611_s_at"	"AB022847"	"SLC6A2"	"solute carrier family 6 (neurotransmitter transporter), member 2"
"216612_x_at"	"AK021988"	"NA"	"NA"
"216613_at"	"AL050042"	"NA"	"NA"
"216614_at"	"AL049988"	"NA"	"NA"
"216615_s_at"	"AJ005205"	"HTR3A"	"5-hydroxytryptamine (serotonin) receptor 3A, ionotropic"
"216616_at"	"AL137428"	"NA"	"NA"
"216617_s_at"	"X98405"	"MAG"	"myelin associated glycoprotein"
"216618_at"	"AL117520"	"NA"	"NA"
"216619_at"	"AL080161"	"NA"	"NA"
"216620_s_at"	"AF009205"	"ARHGEF10"	"Rho guanine nucleotide exchange factor (GEF) 10"
"216621_at"	"AL050032"	"NA"	"NA"
"216622_at"	"AF029325"	"LAMB4"	"laminin, beta 4"
"216623_x_at"	"AK025084"	"TOX3"	"TOX high mobility group box family member 3"
"216624_s_at"	"Z69744"	"KMT2A"	"lysine (K)-specific methyltransferase 2A"
"216625_at"	"AL050032"	"NA"	"NA"
"216626_at"	"AL050026"	"NA"	"NA"
"216627_s_at"	"U10473"	"B4GALT1"	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"
"216628_at"	"AL117447"	"NA"	"NA"
"216629_at"	"AC004493"	"SRRM2"	"serine/arginine repetitive matrix 2"
"216630_at"	"AL110190"	"NA"	"NA"
"216631_s_at"	"X01634"	"NA"	"NA"
"216632_at"	"AL080104"	"NAV3"	"neuron navigator 3"
"216633_s_at"	"AK022610"	"PLCH1"	"phospholipase C, eta 1"
"216634_at"	"AK022610"	"PLCH1"	"phospholipase C, eta 1"
"216635_at"	"AL050043"	"NA"	"NA"
"216636_at"	"AL050043"	"NA"	"NA"
"216637_at"	"AL117447"	"NA"	"NA"
"216638_s_at"	"S78505"	"PRLR"	"prolactin receptor"
"216639_at"	"AL110206"	"SRPX2"	"sushi-repeat containing protein, X-linked 2"
"216640_s_at"	"AK026926"	"PDIA6"	"protein disulfide isomerase family A, member 6"
"216641_s_at"	"U58994"	"LAD1"	"ladinin 1"
"216642_at"	"AL110190"	"NA"	"NA"
"216643_at"	"D25272"	"NA"	"NA"
"216644_at"	"AK000185"	"NA"	"NA"
"216645_at"	"AL117663"	"TCF3"	"transcription factor 3"
"216646_at"	"L11372"	"DSCC1"	"DNA replication and sister chromatid cohesion 1"
"216647_at"	"AL117663"	"TCF3"	"transcription factor 3"
"216648_s_at"	"AF072826"	"RREB1"	"ras responsive element binding protein 1"
"216649_at"	"AF072826"	"RREB1"	"ras responsive element binding protein 1"
"216650_at"	"AL008627"	"NA"	"NA"
"216651_s_at"	"X69936"	"GAD2"	"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)"
"216652_s_at"	"AL137673"	"DR1"	"down-regulator of transcription 1"
"216653_at"	"AL137673"	"DR1"	"down-regulator of transcription 1"
"216654_at"	"X71923"	"TNXB"	"tenascin XB"
"216655_s_at"	"AF041811"	"NA"	"NA"
"216656_at"	"AF041811"	"NA"	"NA"
"216657_at"	"U63332"	"ATXN3"	"ataxin 3"
"216658_at"	"AK000185"	"NA"	"NA"
"216659_at"	"J00146"	"LOC1720"	"dihydrofolate reductase pseudogene"
"216660_at"	"AK000145"	"MYO7B"	"myosin VIIB"
"216661_x_at"	"M15331"	"CYP2C9"	"cytochrome P450, family 2, subfamily C, polypeptide 9"
"216662_at"	"AK000145"	"MYO7B"	"myosin VIIB"
"216663_s_at"	"AC002481"	"ZMYND10"	"zinc finger, MYND-type containing 10"
"216664_at"	"AL133618"	"LOC101929148"	"uncharacterized LOC101929148"
"216665_s_at"	"AL133618"	"LOC101929148"	"uncharacterized LOC101929148"
"216666_at"	"AK000645"	"MGAM2"	"maltase-glucoamylase 2 (putative)"
"216667_at"	"X55989"	"ECRP"	"ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin) pseudogene"
"216668_at"	"U63542"	"NA"	"NA"
"216669_at"	"AK000293"	"PDSS2"	"prenyl (decaprenyl) diphosphate synthase, subunit 2"
"216670_at"	"AL050220"	"KLK13"	"kallikrein-related peptidase 13"
"216671_x_at"	"U14383"	"MUC8"	"mucin 8"
"216672_s_at"	"AL133024"	"MYT1L"	"myelin transcription factor 1-like"
"216673_at"	"AF000990"	"NA"	"NA"
"216674_at"	"AL031848"	"HES2"	"hes family bHLH transcription factor 2"
"216675_at"	"AK000834"	"NA"	"NA"
"216676_x_at"	"AC006293"	"KIR3DL3"	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3"
"216677_at"	"U20648"	"ZNF154"	"zinc finger protein 154"
"216678_at"	"AK000773"	"IFT122"	"intraflagellar transport 122"
"216679_at"	"AL137624"	"DDR1-AS1"	"DDR1 antisense RNA 1 (head to head)"
"216680_s_at"	"BC004264"	"EPHB4"	"EPH receptor B4"
"216681_at"	"AK000353"	"ENOX2"	"ecto-NOX disulfide-thiol exchanger 2"
"216682_s_at"	"AK021457"	"SUPT20H"	"SPT20 homolog, SAGA complex component"
"216683_at"	"AL353949"	"NA"	"NA"
"216684_s_at"	"AF257501"	"SS18"	"synovial sarcoma translocation, chromosome 18"
"216685_s_at"	"AF216650"	"MTAP"	"methylthioadenosine phosphorylase"
"216686_at"	"AL137717"	"ANKRD36BP2"	"ankyrin repeat domain 36B pseudogene 2"
"216687_x_at"	"U06641"	"UGT2B15"	"UDP glucuronosyltransferase 2 family, polypeptide B15"
"216688_at"	"AL137495"	"NA"	"NA"
"216689_x_at"	"U62794"	"ARHGAP1"	"Rho GTPase activating protein 1"
"216690_at"	"AC005255"	"OR7C1"	"olfactory receptor, family 7, subfamily C, member 1"
"216691_at"	"AL137705"	"NA"	"NA"
"216692_at"	"AL137428"	"NA"	"NA"
"216693_x_at"	"AL133102"	"HDGFRP3"	"hepatoma-derived growth factor, related protein 3"
"216694_at"	"AL161956"	"NA"	"NA"
"216695_s_at"	"AF082559"	"TNKS"	"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase"
"216696_s_at"	"U95090"	"PRODH2"	"proline dehydrogenase (oxidase) 2"
"216697_at"	"AL161955"	"TRIO"	"trio Rho guanine nucleotide exchange factor"
"216698_x_at"	"AF065854"	"OR7E12P"	"olfactory receptor, family 7, subfamily E, member 12 pseudogene"
"216699_s_at"	"L10038"	"KLK1"	"kallikrein 1"
"216700_at"	"AL161955"	"TRIO"	"trio Rho guanine nucleotide exchange factor"
"216701_at"	"AF005081"	"C1orf68"	"chromosome 1 open reading frame 68"
"216702_x_at"	"U82303"	"NA"	"NA"
"216703_at"	"AL162040"	"NA"	"NA"
"216704_at"	"AL353949"	"NA"	"NA"
"216705_s_at"	"X02189"	"ADA"	"adenosine deaminase"
"216706_x_at"	"M21388"	"NA"	"NA"
"216707_at"	"AL162044"	"NA"	"NA"
"216708_x_at"	"D84143"	"IGLJ3"	"immunoglobulin lambda joining 3"
"216709_at"	"AL162040"	"NA"	"NA"
"216710_x_at"	"AL359578"	"ZNF287"	"zinc finger protein 287"
"216711_s_at"	"M73444"	"TAF1"	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa"
"216712_at"	"AL359557"	"NA"	"NA"
"216713_at"	"AL049325"	"KRIT1"	"KRIT1, ankyrin repeat containing"
"216714_at"	"Z77651"	"CCL13"	"chemokine (C-C motif) ligand 13"
"216715_at"	"AL080315"	"NA"	"NA"
"216716_at"	"U15197"	"ABO"	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
"216717_at"	"AK021457"	"SUPT20H"	"SPT20 homolog, SAGA complex component"
"216718_at"	"AF005082"	"LINC00302"	"long intergenic non-protein coding RNA 302"
"216719_s_at"	"AL359563"	"RAB11FIP4"	"RAB11 family interacting protein 4 (class II)"
"216720_at"	"AL359563"	"NA"	"NA"
"216721_at"	"AL359557"	"NA"	"NA"
"216722_at"	"AF164963"	"VENTXP1"	"VENT homeobox pseudogene 1"
"216723_at"	"AL390157"	"NA"	"NA"
"216724_at"	"AL359602"	"DCLK2"	"doublecortin-like kinase 2"
"216725_at"	"AL359602"	"DCLK2"	"doublecortin-like kinase 2"
"216726_at"	"AF164963"	"VENTXP1"	"VENT homeobox pseudogene 1"
"216727_at"	"AF034187"	"STK38"	"serine/threonine kinase 38"
"216728_at"	"AL390157"	"NA"	"NA"
"216729_at"	"AK025388"	"NA"	"NA"
"216730_at"	"AK024561"	"NA"	"NA"
"216731_s_at"	"AK023690"	"NA"	"NA"
"216732_at"	"AK023690"	"NA"	"NA"
"216733_s_at"	"X86401"	"GATM"	"glycine amidinotransferase (L-arginine:glycine amidinotransferase)"
"216734_s_at"	"X68829"	"CXCR5"	"chemokine (C-X-C motif) receptor 5"
"216735_x_at"	"AK024553"	"NA"	"NA"
"216736_at"	"AK024515"	"TM6SF2"	"transmembrane 6 superfamily member 2"
"216737_at"	"AK024525"	"NA"	"NA"
"216738_at"	"AK024553"	"NA"	"NA"
"216739_at"	"AK024527"	"NA"	"NA"
"216740_at"	"AK024851"	"NA"	"NA"
"216741_at"	"AK024568"	"NA"	"NA"
"216742_at"	"AK024561"	"NA"	"NA"
"216743_at"	"AK024915"	"NA"	"NA"
"216744_at"	"AK024615"	"NA"	"NA"
"216745_x_at"	"AK024606"	"NA"	"NA"
"216746_at"	"AK024606"	"NA"	"NA"
"216747_at"	"AK024871"	"APBB2"	"amyloid beta (A4) precursor protein-binding, family B, member 2"
"216748_at"	"AK024890"	"PYHIN1"	"pyrin and HIN domain family, member 1"
"216749_at"	"AK024851"	"NA"	"NA"
"216750_at"	"AK024871"	"APBB2"	"amyloid beta (A4) precursor protein-binding, family B, member 2"
"216751_at"	"AK024879"	"NA"	"NA"
"216752_at"	"AK025026"	"PIK3R4"	"phosphoinositide-3-kinase, regulatory subunit 4"
"216753_at"	"AK025152"	"NA"	"NA"
"216754_at"	"AK025388"	"NA"	"NA"
"216755_at"	"AK024945"	"OSBPL10"	"oxysterol binding protein-like 10"
"216756_at"	"AK024995"	"NA"	"NA"
"216757_at"	"AK024995"	"NA"	"NA"
"216758_at"	"AK025038"	"NA"	"NA"
"216759_at"	"AK025029"	"HRASLS2"	"HRAS-like suppressor 2"
"216760_at"	"AK025029"	"HRASLS2"	"HRAS-like suppressor 2"
"216761_at"	"AK025038"	"NA"	"NA"
"216762_at"	"AK025097"	"NA"	"NA"
"216763_at"	"AK025097"	"NA"	"NA"
"216764_at"	"AK025191"	"NA"	"NA"
"216765_at"	"AK025177"	"MAP2K5"	"mitogen-activated protein kinase kinase 5"
"216766_at"	"AK025152"	"NA"	"NA"
"216767_at"	"AK025363"	"NA"	"NA"
"216768_x_at"	"AK025188"	"TTC38"	"tetratricopeptide repeat domain 38"
"216769_x_at"	"AK025180"	"NA"	"NA"
"216770_at"	"AK025325"	"NA"	"NA"
"216771_at"	"AK025194"	"LOC101926997"	"uncharacterized LOC101926997"
"216772_at"	"AK025194"	"LOC101926997"	"uncharacterized LOC101926997"
"216773_at"	"AK025191"	"NA"	"NA"
"216774_at"	"AK025325"	"NA"	"NA"
"216775_at"	"AK025301"	"USP53"	"ubiquitin specific peptidase 53"
"216776_at"	"AK025206"	"NA"	"NA"
"216777_at"	"AK025206"	"NA"	"NA"
"216778_s_at"	"Z22780"	"CYLC1"	"cylicin, basic protein of sperm head cytoskeleton 1"
"216779_at"	"Z22780"	"CYLC1"	"cylicin, basic protein of sperm head cytoskeleton 1"
"216780_at"	"AK025564"	"ZNF443"	"zinc finger protein 443"
"216781_at"	"AB051538"	"CFAP74"	"cilia and flagella associated protein 74"
"216782_at"	"AK026679"	"NA"	"NA"
"216783_at"	"AK025552"	"NA"	"NA"
"216784_at"	"AK025422"	"NA"	"NA"
"216785_at"	"AK026273"	"NA"	"NA"
"216786_at"	"AK026667"	"FAM224A"	"family with sequence similarity 224, member A (non-protein coding)"
"216787_at"	"AK026273"	"NA"	"NA"
"216788_at"	"AK025564"	"ZNF443"	"zinc finger protein 443"
"216789_at"	"AK026439"	"TMEM92-AS1"	"TMEM92 antisense RNA 1"
"216790_at"	"AK026465"	"NA"	"NA"
"216791_at"	"AK026449"	"NA"	"NA"
"216792_at"	"AK026867"	"NA"	"NA"
"216793_x_at"	"AK026856"	"LOC100289518"	"immunoglobin superfamily, member 21 pseudogene"
"216794_at"	"AK026856"	"LOC100289518"	"immunoglobin superfamily, member 21 pseudogene"
"216795_at"	"AK026847"	"NA"	"NA"
"216796_s_at"	"AK026847"	"NA"	"NA"
"216797_at"	"AK026847"	"NA"	"NA"
"216798_at"	"AK027172"	"RNH1"	"ribonuclease/angiogenin inhibitor 1"
"216799_at"	"AL442084"	"NA"	"NA"
"216800_at"	"AK027069"	"NA"	"NA"
"216801_at"	"AK026910"	"CROCC"	"ciliary rootlet coiled-coil, rootletin"
"216802_at"	"AL442084"	"NA"	"NA"
"216803_at"	"AK027217"	"PDLIM5"	"PDZ and LIM domain 5"
"216804_s_at"	"AK027217"	"PDLIM5"	"PDZ and LIM domain 5"
"216805_at"	"AK027254"	"NA"	"NA"
"216806_at"	"AL136306"	"NA"	"NA"
"216807_at"	"AB051538"	"CFAP74"	"cilia and flagella associated protein 74"
"216808_at"	"AL354915"	"MIR622"	"microRNA 622"
"216809_at"	"Z22780"	"CYLC1"	"cylicin, basic protein of sperm head cytoskeleton 1"
"216810_at"	"AJ406939"	"KRTAP4-7"	"keratin associated protein 4-7"
"216811_at"	"AF308291"	"NA"	"NA"
"216812_at"	"AF308291"	"NA"	"NA"
"216813_at"	"AL512728"	"NA"	"NA"
"216814_at"	"AL353587"	"NA"	"NA"
"216815_at"	"AL136306"	"NA"	"NA"
"216816_at"	"AL050335"	"NA"	"NA"
"216817_s_at"	"AJ302604"	"OR2H1"	"olfactory receptor, family 2, subfamily H, member 1"
"216818_s_at"	"AJ302559"	"OR2J2"	"olfactory receptor, family 2, subfamily J, member 2"
"216819_at"	"AL359553"	"NA"	"NA"
"216820_at"	"AL390857"	"NA"	"NA"
"216821_at"	"AL137067"	"NA"	"NA"
"216822_x_at"	"AL359763"	"NA"	"NA"
"216823_at"	"AL356115"	"NA"	"NA"
"216824_at"	"AL157375"	"NA"	"NA"
"216825_s_at"	"AL139289"	"MPL"	"MPL proto-oncogene, thrombopoietin receptor"
"216826_at"	"AL356954"	"NA"	"NA"
"216827_at"	"AL355379"	"NA"	"NA"
"216828_at"	"AL441988"	"NA"	"NA"
"216829_at"	"X72475"	"NA"	"NA"
"216830_at"	"AC004460"	"NA"	"NA"
"216831_s_at"	"AF018283"	"RUNX1T1"	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"
"216832_at"	"AF018283"	"RUNX1T1"	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"
"216833_x_at"	"U05255"	"GYPB"	"glycophorin B (MNS blood group)"
"216834_at"	"S59049"	"RGS1"	"regulator of G-protein signaling 1"
"216835_s_at"	"AF035299"	"DOK1"	"docking protein 1, 62kDa (downstream of tyrosine kinase 1)"
"216836_s_at"	"X03363"	"ERBB2"	"erb-b2 receptor tyrosine kinase 2"
"216837_at"	"L36644"	"EPHA5"	"EPH receptor A5"
"216838_at"	"AK023798"	"LINC01278"	"long intergenic non-protein coding RNA 1278"
"216839_at"	"AK026829"	"LAMA2"	"laminin, alpha 2"
"216840_s_at"	"AK026829"	"LAMA2"	"laminin, alpha 2"
"216841_s_at"	"X15132"	"NA"	"NA"
"216842_x_at"	"U38460"	"NA"	"NA"
"216843_x_at"	"U38964"	"PMS2P1"	"PMS1 homolog 2, mismatch repair system component pseudogene 1"
"216844_at"	"BC004857"	"ZC3H7B"	"zinc finger CCCH-type containing 7B"
"216845_x_at"	"U80756"	"KMT2D"	"lysine (K)-specific methyltransferase 2D"
"216846_at"	"AF234254"	"NA"	"NA"
"216847_at"	"AB051447"	"NA"	"NA"
"216848_at"	"AB051447"	"NA"	"NA"
"216849_at"	"AL080233"	"NA"	"NA"
"216850_at"	"AF319523"	"NA"	"NA"
"216851_at"	"AF234254"	"IGLJ3"	"immunoglobulin lambda joining 3"
"216852_x_at"	"AF234255"	"IGLJ3"	"immunoglobulin lambda joining 3"
"216853_x_at"	"AF234255"	"IGLJ3"	"immunoglobulin lambda joining 3"
"216854_at"	"AF028333"	"GDF11"	"growth differentiation factor 11"
"216855_s_at"	"D13413"	"HNRNPU"	"heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)"
"216856_s_at"	"AF264787"	"DLEU2"	"deleted in lymphocytic leukemia 2 (non-protein coding)"
"216857_at"	"L48728"	"IL23A"	"interleukin 23, alpha subunit p19"
"216858_x_at"	"AL080112"	"NA"	"NA"
"216859_x_at"	"AL080112"	"NA"	"NA"
"216860_s_at"	"AF028333"	"GDF11"	"growth differentiation factor 11"
"216861_at"	"U05589"	"NA"	"NA"
"216862_s_at"	"Z24459"	"CMC4"	"C-x(9)-C motif containing 4"
"216863_s_at"	"AC004542"	"MORC2"	"MORC family CW-type zinc finger 2"
"216864_at"	"U05589"	"NA"	"NA"
"216865_at"	"M64108"	"COL14A1"	"collagen, type XIV, alpha 1"
"216866_s_at"	"M64108"	"COL14A1"	"collagen, type XIV, alpha 1"
"216867_s_at"	"X03795"	"PDGFA"	"platelet-derived growth factor alpha polypeptide"
"216868_s_at"	"D13413"	"NA"	"NA"
"216869_at"	"U40372"	"PDE1C"	"phosphodiesterase 1C, calmodulin-dependent 70kDa"
"216870_x_at"	"AF264787"	"DLEU2"	"deleted in lymphocytic leukemia 2 (non-protein coding)"
"216871_at"	"AF161412"	"ZDHHC17"	"zinc finger, DHHC-type containing 17"
"216872_at"	"X91103"	"NA"	"NA"
"216873_s_at"	"AL137537"	"ATP8B2"	"ATPase, aminophospholipid transporter, class I, type 8B, member 2"
"216874_at"	"U80770"	"LOC100505498"	"uncharacterized LOC100505498"
"216875_x_at"	"X83412"	"HAB1"	"B1 for mucin"
"216876_s_at"	"Z58820"	"IL17A"	"interleukin 17A"
"216877_at"	"U80770"	"LOC100505498"	"uncharacterized LOC100505498"
"216878_x_at"	"X83412"	"HAB1"	"B1 for mucin"
"216879_at"	"X91103"	"NA"	"NA"
"216880_at"	"Y15571"	"RAD51B"	"RAD51 paralog B"
"216881_x_at"	"X07882"	"PRB4"	"proline-rich protein BstNI subfamily 4"
"216882_s_at"	"AL157398"	"NEBL"	"nebulette"
"216883_x_at"	"AJ001626"	"PDE6D"	"phosphodiesterase 6D, cGMP-specific, rod, delta"
"216884_at"	"S69182"	"PTPN12"	"protein tyrosine phosphatase, non-receptor type 12"
"216885_s_at"	"AK026481"	"DCAF8"	"DDB1 and CUL4 associated factor 8"
"216886_at"	"X89745"	"CHRNA4"	"cholinergic receptor, nicotinic, alpha 4 (neuronal)"
"216887_s_at"	"AJ133768"	"LDB3"	"LIM domain binding 3"
"216888_at"	"AJ133768"	"LDB3"	"LIM domain binding 3"
